x,y,z,latitude,longitude,bearing,accuracy,light,timestamp
-1.3525645,0.9208117,8.95811,23.54308817,87.29041553,78.66329193,4.288,1974,2102601
-1.8223237,-1.5806327,9.850705,23.54308816,87.29041556,78.66329193,4.288,1974,2102636
-1.4437184,0.69739676,9.052098,23.54308816,87.29041556,78.66329193,4.288,1974,2102658
-1.7812806,-1.0350426,9.966963,23.54308816,87.29041556,78.66329193,4.288,1974,2102674
-1.5956115,-0.22788434,8.765318,23.54308816,87.29041556,78.66329193,4.288,1974,2102691
-1.7250375,-0.20934436,9.898101,23.54308816,87.29041556,78.66329193,4.288,1974,2102711
-1.4639412,0.7921806,9.01525,23.54308816,87.29041556,78.66329193,4.288,1974,2102720
-2.0293634,-1.1320895,9.878304,23.54308816,87.29041556,78.66329193,4.288,1974,2102750
-1.591308,0.60552686,8.599633,23.54308816,87.29041556,78.66329193,4.288,1974,2102763
-1.591308,0.60552686,8.599633,23.54308816,87.29041556,78.66329193,4.288,1997,2102777
-1.433758,-1.5909052,9.932548,23.54308816,87.29041556,78.66329193,4.288,1997,2102789
-1.3750715,0.30521655,9.547624,23.54308816,87.29041556,78.66329193,4.288,1997,2102797
-1.4835839,-0.54091984,9.47741,23.54308816,87.29041556,78.66329193,4.288,1997,2102827
-1.5298337,0.044602912,9.510668,23.54308816,87.29041556,78.66329193,4.288,1997,2102847
-1.8526454,0.111234084,9.360027,23.54308816,87.29041556,78.66329193,4.288,1997,2102867
-1.9910884,-1.2226743,9.548355,23.54308816,87.29041556,78.66329193,4.288,1997,2102874
-1.2416164,1.1066178,8.604435,23.54308816,87.29041556,78.66329193,4.288,1997,2102904
-1.9541845,-1.4973825,10.425991,23.54308816,87.29041556,78.66329193,4.288,1997,2102926
-1.488197,0.29336312,8.560227,23.54308816,87.29041556,78.66329193,4.288,1997,2102945
-1.4923211,-0.2361671,9.718417,23.54308816,87.29041556,78.66329193,4.288,1997,2102953
-1.4923211,-0.2361671,9.718417,23.54308816,87.29041556,78.66329193,4.288,2027,2102960
-1.7893752,-0.18492602,9.946552,23.54308816,87.29041556,78.66329193,4.288,2027,2102980
-1.3585513,0.27520767,8.677182,23.54308816,87.29041556,78.66329193,4.288,2027,2102990
-1.4451241,-1.9174305,10.117323,23.54308816,87.29041556,78.66329193,4.288,2027,2103019
-1.6187047,1.510283,9.114983,23.54308816,87.29041556,78.66329193,4.288,2027,2103057
-1.7068753,-1.00081,9.551915,23.54308816,87.29041556,78.66329193,4.288,2027,2103081
-1.490016,-0.54808956,9.413215,23.54308816,87.29041556,78.66329193,4.288,2027,2103098
-1.6574682,0.9714993,9.097712,23.54308816,87.29041556,78.66329193,4.288,2027,2103110
-1.6574682,0.9714993,9.097712,23.54308816,87.29041556,78.66329193,4.288,2083,2103117
-1.9896692,-1.6480719,10.079113,23.54308816,87.29041556,78.66329193,4.288,2083,2103134
-1.2678201,0.86878836,8.5599165,23.54308816,87.29041556,78.66329193,4.288,2083,2103142
-1.834728,-0.6003753,9.628637,23.54308816,87.29041556,78.66329193,4.288,2083,2103173
-1.8325886,-0.8824153,9.810255,23.54308816,87.29041556,78.66329193,4.288,2083,2103191
-1.8325886,-0.8824153,9.810255,23.54308816,87.29041556,78.66329193,4.288,2131,2103210
-1.1855197,1.0660787,8.629576,23.54308816,87.29041556,78.66329193,4.288,2131,2103227
-1.9069068,-1.1877735,10.021218,23.54308816,87.29041556,78.66329193,4.288,2131,2103241
-1.8245593,-0.14811566,9.288945,23.54308816,87.29041556,78.66329193,4.288,2131,2103252
-1.2643365,0.2669726,8.893346,23.54308816,87.29041556,78.66329193,4.288,2131,2103261
-1.722995,-1.1955785,10.23626,23.54308816,87.29041556,78.66329193,4.288,2131,2103288
-1.5891927,0.112039104,9.081961,23.54308816,87.29041556,78.66329193,4.288,2131,2103308
-1.2919813,-0.15155573,9.4321575,23.54308816,87.29041556,78.66329193,4.288,2131,2103330
-1.8175715,-1.1756533,10.105386,23.54308816,87.29041556,78.66329193,4.288,2131,2103353
-1.4552536,0.536417,8.791326,23.54308816,87.29041556,78.66329193,4.288,2131,2103368
-1.6890465,-0.51255494,9.71489,23.54308816,87.29041556,78.66329193,4.288,2131,2103375
-1.6890465,-0.51255494,9.71489,23.54308816,87.29041556,78.66329193,4.288,2179,2103376
-1.6527745,-0.729163,9.66699,23.54308816,87.29041556,78.66329193,4.288,2179,2103403
